name,description,category_id,multi_categories,brand_id,ISBN 10,ISBN 13,Publisher,Author,edition,binding,language,dimensions ,weight ,video_provider,video_link,tags,unit_price,unit,slug,current_stock,est_shipping_days,sku,meta title,meta_description,thumbnail_img,photos
10 Minutes Fairy Tales The Three Little Pigs,"A ten-minute retelling of The Three Little Pigs. The book is perfect for quick reading, teaching children a classic lesson about hard work and preparation.",1,1,,9357029664,9789357029667,Rupa,NIL AUTHOR,,Paperback,English,,50,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51cJ640T8wL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/51cJ640T8wL._SY445_SX342_.jpg
10 Minutes Fairy Tales Ugly Duckling,"A concise, ten-minute version of The Ugly Duckling. This storybook offers a quick and simple read on the themes of identity and transformation for young children.",1,1,,9357029249,9789357029247,Rupa,NIL AUTHOR,,Paperback,English,,50,,,,,pc,,10,,,,,"https://m.media-amazon.com/images/I/518+IEBL2+L._SX38_SY50_CR,0,0,38,50_.jpg","https://m.media-amazon.com/images/I/518+IEBL2+L._SX38_SY50_CR,0,0,38,50_.jpg"
Magic Painting,"A magic painting book for children. This activity book features pages with hidden colors that appear when a wet paintbrush is applied, providing a mess-free and engaging creative experience.",1,1,,9361568906,9789361568909,Rupa,NIL AUTHOR NAME,,Paperback,English,"
28 x 21 x 0.1 ",55,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/91MI0EY13nL._SY425_.jpg,https://m.media-amazon.com/images/I/91MI0EY13nL._SY425_.jpg
Magic Painting,"A magic painting book for children. This activity book features pages with hidden colors that appear when a wet paintbrush is applied, providing a mess-free and engaging creative experience.",1,1,,9361568817,9789361568817,Rupa,NIL AUTHOR NAME,,Paperback,English,"
28 x 21 x 0.1 ",55,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/91lq+8cD4nL._SY425_.jpg,https://m.media-amazon.com/images/I/91lq+8cD4nL._SY425_.jpg
Magic Painting,"A magic painting book for children. This activity book features pages with hidden colors that appear when a wet paintbrush is applied, providing a mess-free and engaging creative experience.",1,1,,9361564080,9789361564086,Rupa,NIL AUTHOR NAME,,Paperback,English,"
28 x 21 x 0.1 ",55,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/91sLHbMFayL._SY425_.jpg,https://m.media-amazon.com/images/I/91sLHbMFayL._SY425_.jpg
Love Poems Of Taslima Nasreen,"A collection of passionate and poignant love poems by the renowned author Taslima Nasreen. The work explores themes of desire, longing, and emotional vulnerability through powerful verses.",1,1,,8129104288,9788129104281,Rupa,ASHIM CHOWDHURY,,Paperback,English,12.9 x 0.38 x 19.81,57,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/91aJBF3ThwL._SY466_.jpg,https://m.media-amazon.com/images/I/91aJBF3ThwL._SY466_.jpg
THE UNIVERSALITY OF YOGA,"A philosophical and practical guide that explores the universal principles of yoga. This book delves into the spiritual and physical aspects of the practice, making it accessible to a wide audience regardless of background.",1,1,,8189535358,9788189535353,Rupa,PARAMHANSA YOGANANDA,,Paperback,English,"
18 x 1 x 24",59,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/61nM0ScbvDL._SY466_.jpg,https://m.media-amazon.com/images/I/61nM0ScbvDL._SY466_.jpg
HANUMAN THE MONKEY GOD (HB),"A hardcover edition of a book that recounts the life and legends of Lord Hanuman. The book explores the mythological stories of the revered Hindu deity, celebrating his strength, devotion, and wisdom.",1,1,,9390356113,9789390356119,Rupa,W F HOMER,,Paperback,English,,60,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41WlwYW-aOL._SX342_SY445_.jpg,https://m.media-amazon.com/images/I/41WlwYW-aOL._SX342_SY445_.jpg
F?@k Knows Dead Or Alive,"A gritty and unconventional novel that defies genre. The book explores themes of existence, morality, and identity, presented with a raw and unapologetic narrative style.",1,1,,935304118X,9789353041182,Rupa,SHAILENDRA SINGH,,Paperback,English,12.95 x 1.4 x 19.79 ,60,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71iZ9s8I8uL._SY466_.jpg,https://m.media-amazon.com/images/I/71iZ9s8I8uL._SY466_.jpg
Hanuman The Monkey God (hb),"A hardcover edition of a book that recounts the life and legends of Lord Hanuman. The book explores the mythological stories of the revered Hindu deity, celebrating his strength, devotion, and wisdom.",1,1,,9390356113,9789390356119,Rupa,W F HOMER,,Hardcover,English,,60,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41WlwYW-aOL._SX342_SY445_.jpg,https://m.media-amazon.com/images/I/41WlwYW-aOL._SX342_SY445_.jpg
Kalpana Chawla: India's First Women Astronaut,"A biography of Kalpana Chawla, the first woman of Indian origin to go to space. The book details her life, career, and monumental achievements, serving as an inspiration to aspiring astronauts and scientists.",1,1,,8129130912,9788129130914,Rupa,DILIP M SALWI,,Paperback,English,,61,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41Mj9Ss5nUL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41Mj9Ss5nUL._SY445_SX342_.jpg
ROMI AND THE WILDFIRE-ILLUSTRATED,"An illustrated children's story about a young character named Romi and their experience with a wildfire. The book conveys important lessons about courage, community, and environmental awareness in a gentle, visual manner.",1,1,,8129129353,9788129129352,Rupa,RUSKIN BOND,,Paperback,English,,63,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41p2k7N6d5L._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41p2k7N6d5L._SY445_SX342_.jpg
THE BLUE UMBRELLA,"A classic novella by Ruskin Bond. The story is a touching and simple tale about a young girl and her beloved blue umbrella, exploring themes of innocence, kindness, and human nature.",1,1,,8171673406,9788171673407,Rupa,RUSKIN BOND,,Paperback,English,,63,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41GdkHqODHL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41GdkHqODHL._SY445_SX342_.jpg
Reading And Listening Skills,A practical guide designed to improve comprehension and communication. The book provides exercises and strategies for enhancing both reading fluency and active listening skills in various contexts.,1,1,,8129139871,9788129139870,Rupa,TERRY O BRIEN,,Paperback,English,,63,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41BndErk4pL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41BndErk4pL._SY445_SX342_.jpg
Romi And The Wildfire-illustrated,"An illustrated children's story about a young character named Romi and their experience with a wildfire. The book conveys important lessons about courage, community, and environmental awareness in a gentle, visual manner.",1,1,,8129129353,9788129129352,Rupa,RUSKIN BOND,,Paperback,English,,63,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41p2k7N6d5L._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41p2k7N6d5L._SY445_SX342_.jpg
Selected Stories By Henry James,A curated collection of short stories by the influential author Henry James. This volume showcases his masterful command of psychological realism and intricate narrative style.,1,1,,8129137070,9788129137074,Rupa,TERRY O BRIEN,,Paperback,English,,63,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41nxjkUAwjL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41nxjkUAwjL._SY445_SX342_.jpg
Yoga For Everybody,"A beginner-friendly guide to yoga. This book offers simple instructions and illustrations for a variety of poses and sequences, making the practice accessible to people of all fitness levels and ages.",1,1,,812910251X,9788129102515,Rupa,BHARATI JOSHI,,Paperback,English,,70,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/415wIypLfQL._SY425_.jpg,https://m.media-amazon.com/images/I/415wIypLfQL._SY425_.jpg
WILLIAM SHAKESPEARE : MUCH ADO ABOUT NOTHING,"An edition of William Shakespeare's classic comedy. This play, a witty and romantic farce, explores misunderstandings, deception, and the power of love.",1,1,,8129101475,9788129101471,Rupa,WILLIAM SHAKESPEARE,,Paperback,English,,72,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41fNMXCgsoL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41fNMXCgsoL._SY445_SX342_.jpg
THE PERFECT MURDER,"A gripping crime novel centered on a meticulously planned and executed murder. The book follows the investigation, providing twists and turns that keep the reader guessing until the very end.",1,1,,8129144972,9788129144973,Rupa,RUSKIN BOND,,Paperback,English,,72,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71ROP-07FlL._SY466_.jpg,https://m.media-amazon.com/images/I/71DW5Hrc41L._SY466_.jpg
Fruit Gathering,"A collection of poetry by Rabindranath Tagore. This work is a companion to ""Gitanjali,"" featuring spiritual and philosophical verses that celebrate the human spirit and its connection to the divine.",1,1,,8129100258,9788129100252,Rupa,RABINDRANATH TAGORE,,Paperback,English,,72,,,,,pc,,10,,,,,,
"Hamlet, Prince Of Denmark","A classic edition of William Shakespeare's tragic masterpiece. The play explores themes of revenge, madness, and mortality, following the journey of the Prince of Denmark.",1,1,,8129106051,9788129106056,Rupa,WILLIAM SHAKESPEARE,,Paperback,English,"
20.32 x 12.7 x 1.27 ",72,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/61JRDVPaB7S._SY522_.jpg,https://m.media-amazon.com/images/I/61JRDVPaB7S._SY522_.jpg
Much Ado About Nothing,"An edition of William Shakespeare's classic comedy. This play, a witty and romantic farce, explores misunderstandings, deception, and the power of love.",1,1,,8129101475,9788129101471,Rupa,WILLIAM SHAKESPEARE,,Paperback,English,,72,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71ROP-07FlL._SY466_.jpg,https://m.media-amazon.com/images/I/71ROP-07FlL._SY466_.jpg
Perfect Cv,"A professional guide to creating a standout curriculum vitae. This book offers practical advice, templates, and examples to help job seekers craft a compelling resume that highlights their skills and experience.",1,1,,8129145383,9788129145383,Rupa,TERRY O BRIEN,,Paperback,English,"
12.95 x 0.61 x 19.79",72,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51g+LFl0tkL._SY522_.jpg,https://m.media-amazon.com/images/I/51g+LFl0tkL._SY522_.jpg
Perfect Presentations,"A comprehensive guide to delivering effective presentations. The book provides strategies for structuring content, engaging an audience, and overcoming public speaking anxiety.",1,1,,8129145391,9788129145390,Rupa,TERRY O BRIEN,,Paperback,English,"
12.95 x 0.51 x 19.79 ",72,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51GdXFjpfsL._SY522_.jpg,https://m.media-amazon.com/images/I/51GdXFjpfsL._SY522_.jpg
Voices In The Valley,"A collection of stories or poems that capture the essence of a particular region. This book gives voice to the local culture, folklore, and everyday lives of the people living in a valley.",1,1,,8129119668,9788129119667,Rupa,SURAVI SHARMA KUMAR,,Paperback,English,20.32 x 12.7 x 1.27 ,72,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71S8AQioY8L._SY522_.jpg,https://m.media-amazon.com/images/I/71S8AQioY8L._SY522_.jpg
Devi,A novel or collection of stories that explores the multifaceted nature of the divine feminine (Devi) in Indian mythology and culture. The book examines the different forms of the goddess and their significance.,1,1,,8129136546,9788129136541,Rupa,SUBHADRA SEN GUPTA,,Paperback,English,20.32 x 12.7 x 1.27,77,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71UZTz6P8QL._SY466_.jpg,https://m.media-amazon.com/images/I/71UZTz6P8QL._SY466_.jpg
Biography Of Albert Einstein,"A biographical account of the life and work of the influential physicist Albert Einstein. The book covers his groundbreaking theories, personal struggles, and his impact on modern science.",1,1,,9361568450,9789361568459,Rupa,RUPA,,Paperback,English,"
14 x 0.51 x 21.6",78,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41q4HOaeM6L._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41q4HOaeM6L._SY445_SX342_.jpg
The Biography Of Apj Abdul Kalam,"A detailed biography of Dr. A.P.J. Abdul Kalam, former President of India and a renowned scientist. The book chronicles his life from a humble background to becoming a key figure in India's space and missile programs.",1,1,,9361567616,9789361567612,Rupa,RUPA,,Paperback,English,"
14 x 0.51 x 21.6",78,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/414otZJhd9L._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/414otZJhd9L._SY445_SX342_.jpg
